dataset_name,fold,classifier,exp_type,explainer,acc_m1,acc_m2
heloc,2,neural_network,Architecture,"('face', 'base')",0.7173252279635258,"[0.7337386018237082, 0.7300911854103344, 0.7212765957446808, 0.6890577507598784, 0.6832826747720365, 0.6890577507598784, 0.7173252279635258, 0.7179331306990882, 0.7331306990881459, 0.7343465045592705]"
heloc,0,neural_network,Weights,"('rbr', 'e2e')",0.7231844424187177,"[0.6836827711941659, 0.7104223640230933, 0.6894560923731389, 0.7283500455788514, 0.71315709510787, 0.7110300820419325, 0.7128532360984503, 0.718018839258584, 0.6988757216651473, 0.7128532360984503]"
heloc,0,neural_network,Weights,"('dice', 'base')",0.7034336068064418,"[0.7164995442114859, 0.6830750531753267, 0.7119416590701915, 0.6785171680340322, 0.7168034032209055, 0.7171072622303252, 0.709814646004254, 0.6842904892130052, 0.6955332725615314, 0.6937101185050136]"
heloc,1,neural_network,Weights,"('rbr', 'e2e')",0.7106382978723405,"[0.6732522796352584, 0.7027355623100304, 0.703951367781155, 0.7024316109422493, 0.6981762917933131, 0.7009118541033434, 0.6954407294832827, 0.6793313069908815, 0.6981762917933131, 0.7021276595744681]"
heloc,1,neural_network,Weights,"('dice', 'base')",0.721580547112462,"[0.6598784194528875, 0.6954407294832827, 0.7006079027355623, 0.6373860182370821, 0.7161094224924012, 0.674468085106383, 0.6641337386018237, 0.6693009118541033, 0.6966565349544073, 0.6273556231003039]"
heloc,2,neural_network,Weights,"('rbr', 'e2e')",0.7322188449848024,"[0.725531914893617, 0.7212765957446808, 0.7209726443768997, 0.7188449848024316, 0.7224924012158055, 0.7252279635258359, 0.7243161094224924, 0.7033434650455928, 0.7200607902735562, 0.7224924012158055]"
heloc,2,neural_network,Weights,"('dice', 'base')",0.7033434650455928,"[0.6899696048632219, 0.6425531914893617, 0.6370820668693009, 0.6452887537993921, 0.668693009118541, 0.6446808510638298, 0.664741641337386, 0.7103343465045593, 0.6857142857142857, 0.6349544072948329]"
heloc,0,neural_network,Bootstrap,"('rbr', 'e2e')",0.7216651473716196,"[0.7301731996353692, 0.7134609541172896, 0.736858097842601, 0.7374658158614403, 0.7301731996353692, 0.7289577635976907, 0.7216651473716196, 0.7128532360984503, 0.7158918261926466, 0.7395928289273777]"
heloc,0,neural_network,Bootstrap,"('dice', 'base')",0.7301731996353692,"[0.7301731996353692, 0.7128532360984503, 0.736858097842601, 0.7158918261926466, 0.7301731996353692, 0.7134609541172896, 0.7395928289273777, 0.7374658158614403, 0.7289577635976907, 0.7216651473716196]"
heloc,1,neural_network,Bootstrap,"('rbr', 'e2e')",0.7197568389057751,"[0.7322188449848024, 0.6948328267477204, 0.6869300911854104, 0.7167173252279635, 0.6996960486322188, 0.7054711246200608, 0.7218844984802432, 0.7173252279635258, 0.7091185410334346, 0.7197568389057751]"
heloc,1,neural_network,Bootstrap,"('dice', 'base')",0.7197568389057751,"[0.7091185410334346, 0.6996960486322188, 0.6869300911854104, 0.6948328267477204, 0.7167173252279635, 0.7322188449848024, 0.7218844984802432, 0.7054711246200608, 0.7197568389057751, 0.7173252279635258]"
heloc,2,neural_network,Bootstrap,"('rbr', 'e2e')",0.7398176291793314,"[0.7398176291793314, 0.7340425531914894, 0.7361702127659574, 0.7203647416413373, 0.7319148936170212, 0.7164133738601823, 0.7422492401215806, 0.7361702127659574, 0.7045592705167173, 0.7252279635258359]"
heloc,2,neural_network,Bootstrap,"('dice', 'base')",0.7340425531914894,"[0.7398176291793314, 0.7252279635258359, 0.7340425531914894, 0.7164133738601823, 0.7319148936170212, 0.7361702127659574, 0.7203647416413373, 0.7422492401215806, 0.7045592705167173, 0.7361702127659574]"
heloc,0,neural_network,Architecture,"('rbr', 'e2e')",0.7438468550592525,"[0.7438468550592525, 0.7037374658158614, 0.712245518079611, 0.7195381343056821, 0.7079914919477363, 0.7006988757216651, 0.7259191735034943, 0.7326040717107262, 0.7271346095411729, 0.7000911577028259]"
heloc,0,neural_network,Architecture,"('dice', 'base')",0.712245518079611,"[0.7079914919477363, 0.7000911577028259, 0.7195381343056821, 0.7271346095411729, 0.7259191735034943, 0.7438468550592525, 0.7037374658158614, 0.7006988757216651, 0.712245518079611, 0.7326040717107262]"
heloc,1,neural_network,Architecture,"('rbr', 'e2e')",0.6966565349544073,"[0.7249240121580547, 0.7267477203647417, 0.7024316109422493, 0.7015197568389058, 0.7051671732522796, 0.7297872340425532, 0.6966565349544073, 0.6936170212765957, 0.6939209726443769, 0.7139817629179331]"
